birthdate	mail	company	name	user_id	ssn	blood_group	current_location	registration	job	username	residence	station_ID
	toldocesare@poste.it	Pietrangeli, Tognazzi e Maggioli e figli	Michela Cundari	2014	NBLTRT85D59E520S	O+	(Decimal('29.394779'), Decimal('-164.604774'))	2021-07-09		matilda75		554
1967-07-10	hiroshiyamazaki@gmail.com	山崎印刷合同会社	吉田 里佳	270	491-67-2183	O+	(Decimal('14.308344'), Decimal('-21.168705'))	2024-09-02	大学教授	yoshidahiroshi		387
	jogawa@hotmail.com	前田保険株式会社	村上 くみ子	249	438-60-4547	A+	(Decimal('73.994662'), Decimal('142.150244'))	11/18/2018, 00:00:00		usato		71
1987-01-03	dstewart@gmail.com	Robinson, Christian and Powell	Clayton Mathis	864	052-20-8770	A-	(Decimal('42.833024'), Decimal('-109.864257'))	2024/07/24	Administrator, education	yhaley		648
	isabelgoncalves@yahoo.com.br	Santos Martins S/A	Helena da Paz	2019	07621438517	A-	(Decimal('-71.6453045'), Decimal('-35.927933'))	2025-04-07		sampaiohelena		234
1943-12-26	mouraluara@gmail.com	Pastor	Dr. Pedro Miguel Cavalcante	1122	62873901403	O+	(Decimal('17.2514565'), Decimal('18.142002'))	2023/10/04		da-cruzbruna		243
1990-05-29	idaloredan@tim.it	Trillini Group	Sig.ra Antonella Castioni	1791	BNSMBT52A59G383W	O+	(Decimal('15.027209'), Decimal('-166.245068'))	07/08/2023, 00:00:00	Editor, magazine features	lpedroni		333
1939-09-24	srudolph@yahoo.de	Wulf	Mark Hermann	39	931-85-1837	B+	(Decimal('-45.329186'), Decimal('99.876337'))	10/08/2020, 00:00:00		max99		294
2020-05-09	danilo69@tim.it	Marsili, Contrafatto e Filippini SPA	Alberico Dibiasi	574	LGHMTT79C61E142S	AB-	(Decimal('31.983224'), Decimal('108.050668'))	17 May 2024		annibale78		724
2012-11-26	yamamototomoya@gmail.com	有限会社伊藤電気	高橋 翔太	1669	667-79-6911	A-	(Decimal('52.0204675'), Decimal('-161.663292'))	2025-08-21	公認会計士	mikisuzuki		153
1911-05-07	urtestolze@web.de	Schweitzer Faust OHG mbH	Dipl.-Ing. Jost Eimer MBA.	1070	721-07-3660	O-	(Decimal('-60.973553'), Decimal('-85.297441'))	06 Aug 2019	Binnenschiffer	dmetz		24
1995-03-28	taro08@yahoo.com	吉田電気有限会社	遠藤 真綾	145	292-82-7064	A-	(Decimal('33.262985'), Decimal('154.705375'))	27 Jun 2019		abetomoya		601
1984-01-12	ygoto@gmail.com	合同会社坂本水産	伊藤 幹	2035	570-79-1888	AB+		02 Nov 2019	アートディレクター	yamazakiryosuke		172
	jpinto@ig.com.br	da Mata	Srta. Ana Julia Leão	1038	69527381428	A-	(Decimal('-53.195710'), Decimal('119.751624'))	2022-08-17		carolineteixeira		285
1951-01-27	roderich25@yahoo.de	Schinke	Drago Haering	2147	539-63-8212	A+	(Decimal('78.7949755'), Decimal('7.125816'))	06/27/2025, 00:00:00	Pfleger	fraukeschoenland		511
1976-06-09	ryosuke76@gmail.com	有限会社福田保険	吉田 修平	137	872-82-3625	A-	(Decimal('51.8638635'), Decimal('149.533077'))	2019-11-22		yoko94		188
1930-01-30	liam12@hotmail.com	Sousa	Daniel Pires	2054	90845167375	O+	(Decimal('-27.706673'), Decimal('-22.999644'))	13 May 2025		iazevedo		439
	josemacedo@uol.com.br	Martins	Sr. Enrico Sales	1720	03287459600	AB-	(Decimal('-14.352685'), Decimal('-105.889399'))	2023/02/15	Farmacêutico	hcirino		410
	lili11@web.de	Kobelt	Igor Mans	774	005-17-1934	A-	(Decimal('-2.5397105'), Decimal('79.649004'))	2023/09/16		barbaragrein-groth		8
1990-03-18	giosue90@libero.it	Donati, Zanazzo e Boitani s.r.l.	Venancio Deledda	1770	BSSBRL31L42A485X	A+	(Decimal('-71.357457'), Decimal('-157.107054'))	11/05/2018, 00:00:00		rodolfofabbri		286
1958-05-02	yoko81@gmail.com	有限会社池田電気	伊藤 くみ子	782	314-99-2561	AB-	(Decimal('-0.911271'), Decimal('-174.242675'))	2019/10/16		takahashimaaya		318
	folker07@googlemail.com	Bolander GbR	Abbas Preiß	1993	527-22-9132	A-	(Decimal('-37.133528'), Decimal('72.737452'))	17 Mar 2019		hermannwalfried		433
1949-01-23	clarissajohann@hotmail.de	Butte Hande e.V.	Univ.Prof. Denny Koch	631	952-93-7818	O-	(Decimal('-65.5929695'), Decimal('-46.774344'))	12/10/2020, 00:00:00		rosenowmarc		274
1969-01-29	tsubasafujita@hotmail.com	佐々木食品株式会社	加藤 英樹	546	088-50-1196	O-	(Decimal('-59.1474765'), Decimal('40.249734'))	2025/04/14		rinoue		344
2002-02-22	patrickgarcia@yahoo.com	Stafford-Peterson	Andrew Young	2063	084-17-0846	O+	(Decimal('-5.6551815'), Decimal('-98.464601'))	12/22/2018, 00:00:00		collinsbrittany		571
1963-02-15	nkoch@web.de	Oestrovsky	Ing. Jakob Zorbach	965	143-96-6249	O-	(Decimal('-45.139554'), Decimal('47.555314'))	2021/02/15	Binnenschiffer	willi80		510
1915-05-27	nataliahethur@gmail.com	Hecker Salz GmbH & Co. KGaA	Viktor Preiß	762	017-09-1405	A+	(Decimal('-29.771723'), Decimal('140.352849'))	09/23/2022, 00:00:00		ladeckeugenia		51
1976-08-24	tnovais@gmail.com	Machado da Rocha S.A.	Ana Julia Monteiro	476	50169482758	O-	(Decimal('-39.8293335'), Decimal('-67.692601'))	10/17/2018, 00:00:00		ana-carolinasampaio		560
2023-08-30	ugiovine@tiscali.it	Gonzaga e figli	Bianca Malatesta	1937	CNNCRT34T25E072U	O-	(Decimal('-69.5433985'), Decimal('-45.498959'))	04/16/2024, 00:00:00		ungarettigian		217
	mangoldcindy@hotmail.de	Stolze Buchholz e.V.	Leonie Hörle-Wilms	141	617-67-5991	B-	(Decimal('-21.1407915'), Decimal('-151.653564'))	12 Apr 2023		fernando97		128
1931-09-08	xkeudel@hotmail.de	Segebahn Jähn AG	José Otto	490	300-70-6336	AB+	(Decimal('-54.602092'), Decimal('-143.443874'))	2024-09-24		adem19		366
1932-02-16	temistocleschiavo@vodafone.it	Balbo-Rosiello e figli	Camillo Asprucci-Camuccini	1187	BVOGNR69M64L785Z	A+	(Decimal('-60.5222225'), Decimal('-15.151055'))	12/26/2020, 00:00:00	Theatre manager	carla72		423
	joseph58@hotmail.com	Mack Ltd	Ricardo Moore	1006	110-92-3207	AB-	(Decimal('20.6078905'), Decimal('121.281671'))	08 Dec 2023	Occupational therapist	misty60		488
1914-08-29	vgoncalves@gmail.com	Cavalcante	Maya Carvalho	576	17530624970	AB-	(Decimal('-85.507962'), Decimal('-170.570957'))	12/24/2020, 00:00:00		amandateixeira		314
	dmendes@bol.com.br	Fogaça	Antony da Conceição	1834	28510946701	A+	(Decimal('34.933964'), Decimal('85.265964'))	2019-05-17		allanaborges		375
1939-02-26	amanda23@gmail.com	Roman, Jarvis and Hill	Ethan Wallace	368	155-19-4370	B+	(Decimal('-20.2059285'), Decimal('-43.670952'))	2024-09-19	Engineer, civil (contracting)	jessicagordon		118
	giuseppe81@live.com	Guglielmi-Salata s.r.l.	Leopoldo Volta-Paruta	1673	GGLLNI21R16L363V	B-	(Decimal('-43.862122'), Decimal('-114.591060'))	20 Nov 2022		inolcini		51
2024-02-14	alvesmatteo@bol.com.br	Lopes Moreira Ltda.	Laís Cassiano	1871	83124096703	B-	(Decimal('-52.9887845'), Decimal('-107.805608'))	29 Dec 2019	Consultor	vieirarael		343
1913-01-02	nikolausschaefer@hotmail.de	Söding AG	Margareta Hesse B.A.	752	517-99-3035	O-	(Decimal('-64.0012795'), Decimal('-88.900241'))	2019/08/28		samiholzapfel		55
	suekruesteinberg@gmx.de	Hamann Thies GbR	Leni Gieß-Kallert	769	903-02-0146	O-	(Decimal('-13.827354'), Decimal('12.661950'))	2023-09-01	Fachinformatiker	atzlermeinhard		73
	da-pazalexia@ig.com.br	Vasconcelos	Ravy Pinto	1465	21587396068	A-	(Decimal('64.764888'), Decimal('125.883646'))	02/28/2024, 00:00:00		tda-cunha		561
	gangemijacopo@tele2.it	Manunta-Goldoni e figli	Milena Zanazzo	551	SLVGSP98B46C917Z	O-	(Decimal('-40.349020'), Decimal('-27.887947'))	2023/03/21		gianfrancescobarese		394
	simonettaanichini@libero.it	Galuppi-Magnani SPA	Dino Rusticucci	1441	LFNVTR99H66A348X	A+	(Decimal('-57.8010455'), Decimal('141.477793'))	2025-03-08		martino53		22
1945-08-08	dhardin@yahoo.com	Ho and Sons	Ernest Coleman	1175	663-98-1653	AB-	(Decimal('46.441900'), Decimal('127.030973'))	19 Nov 2020		probinson		164
1986-08-04	juliapacheco@bol.com.br	Pimenta	Ravi Lucca da Mata	549	56270349125	AB+		08/15/2022, 00:00:00		machadootto		522
	ykimura@gmail.com	清水保険有限会社	西村 春香	974	895-75-2185	A-	(Decimal('-31.3191685'), Decimal('163.189653'))	2021-04-30	絵本作家	hanakonakamura		183
1933-07-19	pomponio68@tim.it	Santi SPA	Tonino Santorio	315	MDNCLL73P22C312Z	AB+	(Decimal('77.432275'), Decimal('126.397899'))	16 Apr 2019	Horticulturist, commercial	ignaziopiovani		672
2000-03-11	athomas@yahoo.com	Bruce-Freeman	Jason Mccann	1915	411-95-9556	O+	(Decimal('83.653686'), Decimal('153.606616'))	02/03/2019, 00:00:00		waltonmichael		543
	nnovaes@ig.com.br	da Mota	Lucas Gabriel da Luz	2047	37061952407	B-	(Decimal('-75.927636'), Decimal('-45.612090'))	09/08/2025, 00:00:00		caue01		629
2024-01-12	akemisasaki@hotmail.com	有限会社高橋建設	鈴木 健一	1534	828-51-9726	O-	(Decimal('-41.1443955'), Decimal('-34.086615'))	01 May 2022		rei66		192
1941-10-07	joao-lucas13@ig.com.br	Lopes	Dr. Levi Ramos	1410	36897012521	AB+	(Decimal('-30.1674375'), Decimal('119.957717'))	12/08/2020, 00:00:00		pietracampos		511
2009-05-03	guilhermefogaca@hotmail.com	Fonseca	Luana Cunha	154	87621049502	A+	(Decimal('-24.889030'), Decimal('44.515107'))	2023-10-15	Maestro	joao-vitor70		628
1961-05-14	brittany00@gmail.com	Chambers-Diaz	Robert Cruz	784	402-95-4222	AB+	(Decimal('58.2318545'), Decimal('-157.699473'))	24 Feb 2024		steinrobert		342
	giacobbepanicucci@tele2.it	Comencini-Correr Group	Dott. Gianni Argentero	1878	FOXCHL37M67L296V	O-	(Decimal('-32.064077'), Decimal('-178.825319'))	2022/09/08	Stage manager	pnavarria		342
1982-02-17	jeffrey89@gmail.com	Lane, Reyes and Sharp	Chelsea Day	1963	382-38-1632	AB-	(Decimal('29.0822865'), Decimal('112.541082'))	05/08/2025, 00:00:00		christopherknapp		137
1978-09-09	zirmedietrich@googlemail.com	Römer Pergande GbR	Berit Jäkel	159	211-02-5305	A+	(Decimal('68.1655735'), Decimal('-14.891892'))	09/23/2019, 00:00:00	Winzer	ernst-dieterzorbach		363
	maedahideki@hotmail.com	合同会社高橋通信	佐藤 裕樹	1229	571-47-2971	AB-	(Decimal('58.925290'), Decimal('-53.115080'))	05/11/2021, 00:00:00		katoasuka		171
	julie74@yahoo.com	Bates-Rollins	Jessica Schmidt	399	815-52-6324	AB+	(Decimal('-8.8949735'), Decimal('158.649536'))	2020/11/20		veronicaharrell		422
1956-01-10	zda-costa@gmail.com	Melo Camargo Ltda.	Laís Martins	359	40819275611	A-	(Decimal('-71.8561035'), Decimal('-96.524103'))	07 Feb 2020		diego40		54
	csasaki@gmail.com	中川情報株式会社	中村 春香	144	479-08-7801	AB-	(Decimal('-50.982435'), Decimal('68.397508'))	2020-08-08		abesayuri		52
2013-08-31	ashleyhicks@gmail.com	Hall, Watkins and Martinez	Donna Bullock	623	215-74-3670	O+	(Decimal('-18.7577425'), Decimal('120.950788'))	2024/01/13	Government social research officer	dsimmons		11
1918-12-24	diasdiogo@yahoo.com.br	Moreira	Kamilly Peixoto	201	34721680996	B-	(Decimal('-54.511850'), Decimal('-175.425717'))	08/06/2024, 00:00:00		caldeiracarlos-eduardo		488
	konstantin06@yahoo.de	Löchel KG	Ottmar Schwital	758	869-46-1153	O+	(Decimal('70.2142095'), Decimal('29.119037'))	2021-01-27		beckmanngustav		469
	maya61@uol.com.br	Casa Grande	Sra. Lívia Ramos	67	10856794201	A+	(Decimal('-46.6730175'), Decimal('31.021960'))	2023/05/24		costeladaniel		672
	andreasalbers@web.de	Klingelhöfer Kühnert GmbH & Co. OHG	Georgine Hentschel	1163	751-13-7089	B+	(Decimal('83.594971'), Decimal('147.012874'))	05/14/2024, 00:00:00		hoffmannfreddy		435
1988-01-18	benjamin12@gmail.com	Rhodes-Williamson	Nicole Hinton DDS	257	010-36-6681	O-	(Decimal('-45.9089535'), Decimal('118.976588'))	2025/06/05		hdougherty		456
	nonisrosaria@hotmail.it	Pirandello SPA	Enzio Prada-Padovano	465	BLLGRG37D43H521L	O+	(Decimal('39.882904'), Decimal('-16.131765'))	2020-12-26		oriccati		266
1974-10-22	heidelore93@gmail.com	Carsten Weimer GmbH & Co. KG	Univ.Prof. Falk Budig	398	192-82-0312	B-	(Decimal('-79.318523'), Decimal('56.459035'))	2024/05/09	Bäcker	ggiess		14
1965-10-28	ppeukert@gmx.de	Rust	Ing. Erika Lübs	265	418-12-6107	A+	(Decimal('-55.298861'), Decimal('-135.234233'))	2018/09/27		mareenknappe		674
	jose-pedro85@yahoo.com.br	Nogueira Araújo S/A	Maria Julia Lopes	402	58290643756	O-	(Decimal('30.819655'), Decimal('-53.800187'))	2022/06/10		novaeslais		687
1971-09-26	elizabethmiller@hotmail.com	Richards-Calhoun	Rachel Holmes	1657	402-34-9105	A-	(Decimal('51.904648'), Decimal('122.790786'))	11 Oct 2024		cynthiamiller		646
	kmisicher@yahoo.de	Kabus	Dietlind Zimmer B.Eng.	1087	111-90-4391	B+	(Decimal('62.985356'), Decimal('-147.342762'))	07/18/2024, 00:00:00		iliasseifert		612
1933-06-26	olga80@libero.it	Lucchesi, Maspero e Dandolo s.r.l.	Gianni Monteverdi	108	CTLNPN58C54D004G	AB-	(Decimal('-13.2311275'), Decimal('-35.454610'))	2021-06-25		micheletto32		294
	yoliveira@gmail.com	Melo Ltda.	Ravi da Costa	376	02613854707	A+	(Decimal('-55.1498435'), Decimal('-27.687279'))	08 Jan 2021		salesalice		169
1981-10-09	pieperignatz@hotmail.de	Winkler	Anika Kraushaar	1476	050-06-8308	AB-	(Decimal('-72.330331'), Decimal('145.638191'))	29 Dec 2018		junckenwilfried		634
1973-07-26	yasuhirowatanabe@hotmail.com	有限会社森農林	中川 聡太郎	954	007-36-9646	A-	(Decimal('21.068424'), Decimal('-156.670722'))	2022/09/25		itoyuki		524
1976-05-11	xpalmer@yahoo.com	Nguyen-Harris	Ashley Howard	909	860-01-1074	AB+	(Decimal('-54.473968'), Decimal('58.026658'))	2022/07/04	Visual merchandiser	smithlaurie		416
1961-06-29	tadeuszkraus@hotmail.de	Kühnert Wähner GmbH	Dipl.-Ing. Elena Kallert	1736	367-06-0115	A-	(Decimal('-27.4240295'), Decimal('116.540135'))	23 Oct 2019		freiaweihmann		440
	joaoguerra@gmail.com	Cassiano	Marina Gomes	403	39640752134	AB+	(Decimal('46.321410'), Decimal('114.409763'))	01 Dec 2021		eduardacarvalho		92
1939-07-15	maxscott@yahoo.com	Lindsey, Atkins and Roy	Michael Herrera	103	411-11-6201	B-	(Decimal('-37.8748495'), Decimal('-121.910102'))	2023/03/30	Chiropractor	jordanlisa		589
1983-09-16	enguyen@yahoo.com	Jacobson, Carson and Smith	Greg Barnes	29	607-51-8181	B+	(Decimal('22.4682155'), Decimal('-87.172370'))	11 Sep 2020	Armed forces logistics/support/administrative officer	rojaschristopher		648
1966-07-17	albericobongiorno@tiscali.it	Anguillara-Franscini Group	Dott. Chiara Saraceno	631	PLNLNE46C01C447R	AB+	(Decimal('10.7716685'), Decimal('-93.550534'))	02/25/2020, 00:00:00		yiannelli		372
	betinazorbach@aol.de	Rädel Rogge AG	Herr Heinz-Jürgen Liebelt MBA.	1648	903-43-3510	O-	(Decimal('-11.0868175'), Decimal('-97.009169'))	2022/09/06	Pilot	elsbeth14		104
1962-08-06	suzukimituru@hotmail.com	株式会社太田鉱業	藤田 加奈	267	793-28-0153	O+	(Decimal('9.7746265'), Decimal('-172.075422'))	16 Jul 2022		vsasaki		173
1987-05-02	akemi35@gmail.com	中村電気有限会社	太田 健一	313	824-80-6303	A-	(Decimal('-29.289722'), Decimal('135.653473'))	2022/09/28	気象予報士	uhayashi		379
1978-05-21	igorstoll@yahoo.de	Lehmann GmbH & Co. KG	Mara Etzler	1896	367-04-1413	O+	(Decimal('-63.2840175'), Decimal('100.444871'))	2021/11/22		leberth		189
1943-02-22	peukertheinz-dieter@hotmail.de	Jähn GbR	Dr. Wolf-Dieter Möchlichen B.A.	1845	214-68-3503	O-	(Decimal('65.745097'), Decimal('-79.512713'))	03/11/2019, 00:00:00		hans-wolfgang19		448
1980-01-26	rsasaki@hotmail.com	木村電気株式会社	佐藤 明美	250	579-45-3355	O+	(Decimal('-9.516158'), Decimal('56.973390'))	2023-03-14		bokamoto		5
	beppe80@vodafone.it	Franzese e figli	Ettore Scarfoglio	1801	BMBJLD64H22E020B	AB-	(Decimal('81.3826335'), Decimal('-131.354952'))	04/04/2021, 00:00:00	Archaeologist	berengariomilena		304
1965-07-30	auroracamargo@uol.com.br	Vargas	Sr. Vitor Gabriel Freitas	2029	65034812762	B-	(Decimal('-74.0887495'), Decimal('-161.554839'))	03/13/2024, 00:00:00	Cobrador de pedágio	josemartins		383
1924-04-09	virginiacundari@tim.it	Grassi Group	Rosina Dallara	1229	SCNGSN00M44M341Q	AB-	(Decimal('-31.175317'), Decimal('165.171422'))	2024-08-08		asalvo		79
	ugolino34@alice.it	Sabbatini-Nugnes e figli	Virginia Burcardo	1455	RNRTMT11M56C501J	AB-	(Decimal('75.511573'), Decimal('-166.972519'))	2021/05/12		almagialivio		629
	karzdietrich@gmx.de	Mans	Dr. Rosalinde Hein MBA.	1679	936-49-7561	A+	(Decimal('-77.167722'), Decimal('27.765023'))	05/02/2024, 00:00:00		magdalenestaude		662
	pdrub@gmail.com	Hermighausen Thies KG	Marijan Kraushaar-Löwer	33	306-39-4488	AB+	(Decimal('40.8034135'), Decimal('111.612943'))	2023-11-03		brigitta52		230
	lorenzopedersoli@alice.it	Pistoletto, Malaparte e Sabbatini SPA	Giuseppe Guicciardini	996	TTNLVI94E31G671R	O-	(Decimal('-4.621685'), Decimal('-67.225988'))	11/26/2024, 00:00:00		gioffrecerutti		260
1973-01-13	yamaguchihiroshi@gmail.com	株式会社渡辺電気	石川 桃子	58	028-60-6747	A+	(Decimal('56.613008'), Decimal('66.246512'))	02/02/2024, 00:00:00		yasuhiro23		586
1998-05-08	irma02@live.com	Calvo, Verdone e Pizzetti e figli	Monica Esposito	796	CMNPLT24A02A971O	O+	(Decimal('-13.5622495'), Decimal('7.920351'))	11/19/2024, 00:00:00		ivittadello		551
	thayashi@yahoo.com	鈴木電気合同会社	石川 幹	1812	546-32-8878	A+	(Decimal('35.2312185'), Decimal('-89.183130'))	2021/09/28		hasegawakaori		73
	akemi13@gmail.com	渡辺電気合同会社	藤井 知実	1096	479-03-9900	A+	(Decimal('69.791597'), Decimal('6.721444'))	2024/03/08		shota52		273
1939-09-06	chloe88@gmail.com	Jones Inc	Dennis Hall	854	519-53-6244	AB-	(Decimal('7.7794005'), Decimal('-158.793761'))	2024/03/02		bobby43		143
	cwiek@web.de	Lachmann GmbH	Dipl.-Ing. Brunhild Scholz MBA.	1341	226-94-0147	AB-	(Decimal('-7.601703'), Decimal('-1.773838'))	30 Apr 2020		jwarmer		293
1968-09-13	saitoryohei@hotmail.com	有限会社遠藤保険	近藤 花子	430	311-72-3746	O-	(Decimal('23.9792295'), Decimal('63.114156'))	2022/09/05		yoichifujiwara		165
	gattogabriele@vodafone.it	Eco, Filippini e Mazzi SPA	Flora Campano	1652	GDDGNZ60E47M315Y	B-	(Decimal('26.0511615'), Decimal('-136.994264'))	2021/10/11		gianmarco71		459
2017-10-29	pnascimento@yahoo.com.br	Vasconcelos S.A.	Bernardo Gomes	1933	18053296777	B+	(Decimal('-38.6835665'), Decimal('94.455600'))	06/23/2023, 00:00:00		vargasjose		363
	lgucci@hotmail.it	Tedesco-Balbi SPA	Eleanora Bresciani	643	CRCMCA32R51A905W	B+	(Decimal('-63.895004'), Decimal('-71.372132'))	2025/01/06		ginesiolaureano		289
	tsubasa77@hotmail.com	合同会社中村印刷	木村 智也	803	212-36-1713	AB-	(Decimal('22.716582'), Decimal('-131.451363'))	19 Aug 2023	公認会計士	akemimaeda		265
	linda07@hotmail.com	Carter, Warren and Velez	Amanda Russell	86	412-66-2982	B+	(Decimal('-51.5849455'), Decimal('-55.437395'))	22 Nov 2019		charlesphyllis		694
1950-11-11	kimberly66@yahoo.com	Martin, Riley and Ford	Bruce Bowman	1984	501-35-8617	O+	(Decimal('-46.1653965'), Decimal('164.654116'))	02/15/2025, 00:00:00	Newspaper journalist	wrighttamara		207
1970-01-27	utanaka@gmail.com	高橋電気合同会社	小川 幹	522	113-09-7449	B-	(Decimal('67.2282965'), Decimal('-176.645828'))	2019-05-25	ゲームクリエイター	akira36		357
	cengiz30@web.de	Kruschwitz Wagner KG	Lara Kraushaar	127	186-19-7693	A-	(Decimal('-83.8928385'), Decimal('-161.158107'))	05/25/2022, 00:00:00		mosemannherta		628
1911-05-08	dawnjones@hotmail.com	Anderson-Andrade	Douglas Rodriguez	1681	065-98-8245	A+	(Decimal('34.606461'), Decimal('106.778134'))	2025/03/02		shaun41		359
	napoleone53@fastwebnet.it	Parpinel-Morandi s.r.l.	Mercedes Righi	597	TRNMNL22S58L310B	B-		2019/04/04		ltrezzini		365
1978-01-03	gleao@ig.com.br	Farias - EI	Maya Ribeiro	937	10534268951	B+	(Decimal('-61.2847205'), Decimal('-129.621156'))	07/30/2019, 00:00:00	Engenheiro mecatrônico	moreiraana-liz		343
1920-01-04	montigiuliana@live.com	Tolentino-Anichini SPA	Zaira Emanuelli	1841	MGRGNE52L11D946V	AB+	(Decimal('-27.112347'), Decimal('165.504042'))	21 Mar 2022		antonello88		317
1967-01-02	yukifujita@hotmail.com	松田銀行有限会社	斎藤 里佳	809	587-77-4848	AB+	(Decimal('-33.340250'), Decimal('-177.346871'))	2019-05-28		tanakayuta		164
1968-04-14	vittoria81@outlook.com	Antonacci s.r.l.	Pietro Borsiere	354	NGLPRN31M15I060S	AB+	(Decimal('-42.0444715'), Decimal('146.500686'))	2022-06-02		filangiericipriano		324
1910-12-04	dino88@yahoo.de	Gierschner Koch II GmbH	Rose-Marie Adolph	1793	707-94-1201	A-	(Decimal('-51.4516425'), Decimal('12.522569'))	2021-06-30		grafalessandro		708
1930-04-28	millerlinda@hotmail.com	Buchanan LLC	Wesley Long	393	760-18-1215	B+	(Decimal('32.7782235'), Decimal('173.687338'))	2021-09-26		huffmanandrew		102
1967-02-14	amedeobonomo@tele2.it	Gianetti SPA	Federigo Finzi	156	JLNGNL93B68B302V	O+	(Decimal('-46.351381'), Decimal('34.351466'))	2020-03-09	Tax adviser	donnacarosone		376
1997-04-02	ceciliacorreia@hotmail.com	Andrade Pires e Filhos	Srta. Maria Sophia Carvalho	393	83419620713	O+	(Decimal('39.255389'), Decimal('-57.665486'))	10/09/2024, 00:00:00	Juiz de direito	ravicamara		329
	shota21@yahoo.com	坂本鉱業株式会社	田中 直子	65	098-47-8724	B-	(Decimal('89.4328335'), Decimal('-3.884019'))	2019/03/30	アナウンサー	tomoya78		529
	baccioscamarcio@tim.it	Jilani SPA	Giacinto Ungaretti	1942	RSPSMT24S22I592R	B+	(Decimal('41.644657'), Decimal('105.783519'))	2022-10-08		ytaccola		588
1916-02-29	ryoheiishikawa@hotmail.com	有限会社林保険	石井 香織	1847	159-36-6134	A+	(Decimal('-76.9582665'), Decimal('-70.596407'))	2020-02-24		akira25		552
1958-08-10	brandon92@hotmail.com	Johnson-Welch	Christy Blanchard	1923	245-34-0583	A+	(Decimal('-23.3124885'), Decimal('-96.946323'))	10/11/2024, 00:00:00		kathleenhernandez		510
1975-06-12	barnettlaura@yahoo.com	Gallegos-Young	Joseph Roach	358	879-05-7939	O+	(Decimal('-29.7047185'), Decimal('-66.000095'))	2019/09/29	Secretary/administrator	gwest		539
	ada-mata@yahoo.com.br	Casa Grande e Filhos	Isadora Rocha	636	79613528059	AB-	(Decimal('-57.742036'), Decimal('162.516162'))	01/06/2024, 00:00:00		ribeiroerick		88
1937-11-10	udruso@fastwebnet.it	Ravaglioli-Pietrangeli e figli	Sandra Trobbiani	267	CMNNZE37M45A196U	O-	(Decimal('-82.8258235'), Decimal('69.741693'))	2024-11-27	Psychiatric nurse	gianfranco84		207
2004-09-10	lsousa@gmail.com	Abreu	Bernardo das Neves	3	87392410504	O+	(Decimal('64.6282455'), Decimal('19.098850'))	2022-11-06		pedro-lucas81		210
	stephaniewilkerson@yahoo.com	Travis-Morgan	Patricia Smith	1489	720-52-1194	A-	(Decimal('45.7713145'), Decimal('-152.867759'))	12/10/2020, 00:00:00		daughertykristen		416
	leecrystal@hotmail.com	Villegas-Benson	Sarah Robbins	1496	123-47-4265	A-	(Decimal('24.5854405'), Decimal('74.568461'))	2023/10/19		jodipatterson		238
	christophercarr@yahoo.com	Marks-Carroll	Wendy Gutierrez	1475	137-22-0194	A+	(Decimal('51.4688685'), Decimal('101.957131'))	2024-02-24	Engineer, building services	nelsonmegan		525
1933-12-23	sdietz@gmx.de	Mühle GbR	Janna Wilmsen	1375	783-30-3358	B-	(Decimal('-41.882156'), Decimal('-145.735195'))	2023/07/14		gotthard71		416
1920-12-29	mendoncabenjamin@ig.com.br	Porto	Arthur Gabriel Pereira	1585	23814760913	AB-	(Decimal('-49.4790155'), Decimal('-155.189372'))	2019-01-23		ravynovaes		408
	ryoheiyoshida@gmail.com	株式会社中川水産	吉田 亮介	739	034-37-9335	O+	(Decimal('-32.427260'), Decimal('-145.603720'))	2024-04-04		naokomatsuda		390
1915-10-04	massimodraghi@tin.it	Grisoni, Bragadin e Peranda e figli	Isabella Modugno	219	LSAFDC38H12F786Q	B-	(Decimal('46.9265405'), Decimal('21.692313'))	2023-07-19		cesaresegni		627
	emanuellacorreia@bol.com.br	Sales	Thomas Alves	1393	37189546057	O-	(Decimal('-53.7002885'), Decimal('130.295196'))	2022-07-20		qbrito		673
	evan08@hotmail.com	Hoffman-Frazier	Becky Vaughn	1300	861-35-1987	B+	(Decimal('82.745660'), Decimal('143.754688'))	2020/03/07		nancy20		707
1957-11-24	nicholas58@gmail.com	Gross Group	Anthony Mejia	950	720-39-6772	A+	(Decimal('16.900865'), Decimal('-114.086351'))	07/07/2022, 00:00:00		tracy91		139
	reinald81@googlemail.com	Johann Loos GbR	Roswitha Bonbach B.Eng.	151	509-20-4100	AB+	(Decimal('15.6184605'), Decimal('-173.542751'))	2021-03-03	Polizist	milica87		26
	bowenchristopher@hotmail.com	Ellis-Owens	David Fernandez	1997	634-09-0206	A+	(Decimal('-88.474806'), Decimal('144.178061'))	17 Jul 2019		heatherrhodes		667
1996-12-06	rmori@yahoo.com	有限会社前田保険	田中 直子	588	014-62-6641	B-	(Decimal('-20.981417'), Decimal('9.822086'))	2020/01/18		okamotoharuka		145
1917-03-25	paolaauch-schlauchin@gmail.com	Preiß GmbH & Co. KG	Ing. Türkan Krause B.A.	2029	081-14-2680	AB-	(Decimal('69.959816'), Decimal('116.146014'))	2021/01/02		aklemm		692
1928-05-16	cohenkevin@yahoo.com	Price-Barajas	Corey Strickland	931	736-08-8864	A-		2025-08-22		michelle99		478
